node1	node2	node1_string_id	node2_string_id	node1_external_id	node2_external_id	neighborhood	fusion	cooccurence	homology	coexpression	experimental	knowledge	textmining	combined_score
PIK3R1	PIK3R2	980292	976536	ENSP00000274335	ENSP00000222254	0.000	0.000	0.000	0.949	0.000	0.000	0.900	0.000	0.899
ERCC4	DDB1	983532	982456	ENSP00000310520	ENSP00000301764	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
PCNA	BRCA1	991950	988359	ENSP00000368438	ENSP00000350283	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
ERCC5	GTF2H2	987985	980301	ENSP00000347978	ENSP00000274400	0.000	0.000	0.000	0.000	0.000	0.621	0.000	0.000	0.621
RAD50	MLH1	979585	976973	ENSP00000265335	ENSP00000231790	0.000	0.000	0.000	0.000	0.000	0.333	0.000	0.000	0.333
RFC4	RPA1	981740	978067	ENSP00000296273	ENSP00000254719	0.000	0.000	0.000	0.000	0.000	0.296	0.000	0.000	0.296
XPA	RPA3	991140	976606	ENSP00000364270	ENSP00000223129	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
CASP9	PIK3R5	985709	979978	ENSP00000330237	ENSP00000269300	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.000	0.800
RELA	CHUK	994309	990127	ENSP00000384273	ENSP00000359424	0.000	0.000	0.000	0.000	0.000	0.996	0.900	0.000	0.999
XRCC6	LIG4	988652	988208	ENSP00000352257	ENSP00000349393	0.000	0.000	0.000	0.000	0.000	0.845	0.900	0.000	0.983
LIG4	POLE	988208	984840	ENSP00000349393	ENSP00000322570	0.000	0.000	0.000	0.000	0.000	0.387	0.000	0.000	0.386
ERCC8	CDK7	979523	978199	ENSP00000265038	ENSP00000256443	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
RAD52	ERCC5	988506	987985	ENSP00000351284	ENSP00000347978	0.000	0.000	0.000	0.000	0.000	0.580	0.000	0.000	0.579
MSH2	ERCC1	977012	975751	ENSP00000233146	ENSP00000013807	0.000	0.000	0.000	0.000	0.000	0.640	0.000	0.000	0.639
RELA	NGF	994309	989928	ENSP00000384273	ENSP00000358525	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
PRKACA	NFKB1	983418	976749	ENSP00000309591	ENSP00000226574	0.000	0.000	0.000	0.000	0.000	0.621	0.000	0.000	0.621
CASP8	IKBKB	988504	986774	ENSP00000351273	ENSP00000339151	0.000	0.000	0.000	0.000	0.000	0.620	0.900	0.000	0.959
PRKACG	NFKB1	991572	976749	ENSP00000366488	ENSP00000226574	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
RFC1	PARP2	978706	977736	ENSP00000261424	ENSP00000250416	0.000	0.000	0.000	0.000	0.000	0.388	0.000	0.000	0.388
CAST	CAPN1	993526	980567	ENSP00000379158	ENSP00000279247	0.000	0.000	0.000	0.000	0.000	0.846	0.000	0.000	0.845
IL1A	IL1RAP	979164	975818	ENSP00000263339	ENSP00000072516	0.000	0.000	0.000	0.000	0.000	0.621	0.800	0.000	0.919
RAD51	RFC1	979855	978706	ENSP00000267868	ENSP00000261424	0.000	0.000	0.000	0.000	0.000	0.269	0.000	0.000	0.269
XRCC6	NTHL1	988652	976340	ENSP00000352257	ENSP00000219066	0.000	0.000	0.000	0.000	0.000	0.356	0.000	0.000	0.356
RFC5	RPA3	996982	976606	ENSP00000408295	ENSP00000223129	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
CHEK2	XPA	992579	991140	ENSP00000372023	ENSP00000364270	0.000	0.000	0.000	0.000	0.000	0.577	0.000	0.000	0.577
IKBKB	TP53	986774	979979	ENSP00000339151	ENSP00000269305	0.000	0.000	0.000	0.000	0.000	0.845	0.000	0.000	0.845
PCNA	RPA2	991950	990895	ENSP00000368438	ENSP00000363021	0.000	0.000	0.000	0.000	0.000	0.620	0.000	0.000	0.619
ERCC3	CDK7	980930	978199	ENSP00000285398	ENSP00000256443	0.000	0.000	0.000	0.000	0.000	0.989	0.900	0.000	0.998
IRAK1	IL1R1	990032	977047	ENSP00000358997	ENSP00000233946	0.000	0.000	0.000	0.000	0.000	0.846	0.900	0.000	0.983
CASP6	BIRC3	979557	979190	ENSP00000265164	ENSP00000263464	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.000	0.800
TP53	CASP6	979979	979557	ENSP00000269305	ENSP00000265164	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
DDB1	RPA3	982456	976606	ENSP00000301764	ENSP00000223129	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
RAD17	RAD52	992299	988506	ENSP00000370151	ENSP00000351284	0.000	0.000	0.000	0.000	0.000	0.160	0.000	0.000	0.160
RFC3	RPA1	992135	978067	ENSP00000369411	ENSP00000254719	0.000	0.000	0.000	0.000	0.000	0.296	0.000	0.000	0.296
RAD23B	POLD1	988422	978920	ENSP00000350708	ENSP00000262266	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
XRCC4	PNKP	987175	984941	ENSP00000342011	ENSP00000323511	0.000	0.000	0.000	0.000	0.000	0.899	0.900	0.000	0.989
PPP3CA	BCL2	993449	985632	ENSP00000378323	ENSP00000329623	0.000	0.000	0.000	0.000	0.000	0.846	0.000	0.000	0.845
POLE	MSH6	984840	977074	ENSP00000322570	ENSP00000234420	0.000	0.000	0.000	0.000	0.000	0.671	0.000	0.000	0.671
RELA	IL1B	994309	979165	ENSP00000384273	ENSP00000263341	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
RAD50	POLD1	979585	978920	ENSP00000265335	ENSP00000262266	0.000	0.000	0.000	0.000	0.000	0.671	0.000	0.000	0.671
SMG7	RAD51	986988	979855	ENSP00000340766	ENSP00000267868	0.000	0.000	0.000	0.000	0.000	0.233	0.000	0.000	0.232
TP53	MSH6	979979	977074	ENSP00000269305	ENSP00000234420	0.000	0.000	0.000	0.000	0.000	0.620	0.000	0.000	0.619
ERCC8	MNAT1	979523	978667	ENSP00000265038	ENSP00000261245	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
IL3RA	IL3	985410	981850	ENSP00000327890	ENSP00000296870	0.000	0.000	0.000	0.000	0.000	0.937	0.900	0.000	0.993
MYD88	CHUK	993574	990127	ENSP00000379625	ENSP00000359424	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
CASP3	BAD	983604	983354	ENSP00000311032	ENSP00000309103	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
RAD17	ATR	992299	987414	ENSP00000370151	ENSP00000343741	0.000	0.000	0.000	0.000	0.000	0.826	0.000	0.000	0.825
APAF1	FAS	988791	987986	ENSP00000353059	ENSP00000347979	0.000	0.000	0.000	0.000	0.000	0.621	0.000	0.000	0.621
BRCA1	PRKDC	988359	983877	ENSP00000350283	ENSP00000313420	0.000	0.000	0.000	0.000	0.000	0.571	0.000	0.000	0.571
ERCC5	OGG1	987985	983033	ENSP00000347978	ENSP00000306561	0.000	0.000	0.000	0.000	0.000	0.293	0.000	0.000	0.293
RELA	TNFRSF1A	994309	975867	ENSP00000384273	ENSP00000162749	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
IRAK1	IL1A	990032	979164	ENSP00000358997	ENSP00000263339	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
CASP9	PIK3CA	985709	979288	ENSP00000330237	ENSP00000263967	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.000	0.800
CHEK1	MSH6	980540	977074	ENSP00000278916	ENSP00000234420	0.000	0.000	0.000	0.000	0.000	0.620	0.000	0.000	0.619
ERCC5	PMS2L3	987985	982611	ENSP00000347978	ENSP00000302965	0.000	0.000	0.000	0.000	0.000	0.165	0.000	0.000	0.165
MRE11A	RFC1	985197	978706	ENSP00000325863	ENSP00000261424	0.000	0.000	0.000	0.000	0.000	0.333	0.000	0.000	0.333
CSF2RB	PIK3R3	994280	979026	ENSP00000384053	ENSP00000262741	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.000	0.800
