node1	node2	node1_string_id	node2_string_id	node1_external_id	node2_external_id	neighborhood	fusion	cooccurence	homology	coexpression	experimental	knowledge	textmining	combined_score
BRCA1	MSH2	988359	977012	ENSP00000350283	ENSP00000233146	0.000	0.000	0.000	0.000	0.000	0.953	0.000	0.000	0.952
CSF2RB	PIK3CG	994280	988630	ENSP00000384053	ENSP00000352121	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.000	0.800
IKBKG	BIRC3	989953	979190	ENSP00000358622	ENSP00000263464	0.000	0.000	0.000	0.000	0.000	0.620	0.000	0.000	0.619
ERCC5	ERCC8	987985	979523	ENSP00000347978	ENSP00000265038	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
TRADD	TNFSF10	987063	977287	ENSP00000341268	ENSP00000241261	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
ERCC5	FEN1	987985	982899	ENSP00000347978	ENSP00000305480	0.000	0.000	0.000	0.682	0.000	0.626	0.000	0.000	0.625
ERCC2	GTF2H4	993226	978518	ENSP00000375809	ENSP00000259895	0.000	0.000	0.000	0.000	0.000	0.621	0.900	0.000	0.959
APEX2	MUS81	991110	983204	ENSP00000364126	ENSP00000307853	0.000	0.000	0.000	0.000	0.000	0.291	0.000	0.000	0.291
POLD2	CHEK1	993523	980540	ENSP00000379148	ENSP00000278916	0.000	0.000	0.000	0.000	0.000	0.582	0.000	0.000	0.581
RFC3	FEN1	992135	982899	ENSP00000369411	ENSP00000305480	0.000	0.000	0.000	0.000	0.000	0.232	0.000	0.000	0.232
CASP10	RIPK1	980968	978509	ENSP00000286186	ENSP00000259808	0.000	0.000	0.000	0.000	0.000	0.845	0.900	0.000	0.983
ERCC2	FEN1	993226	982899	ENSP00000375809	ENSP00000305480	0.000	0.000	0.000	0.000	0.000	0.387	0.000	0.000	0.386
XPA	DDB2	991140	978247	ENSP00000364270	ENSP00000256996	0.000	0.000	0.000	0.000	0.000	0.621	0.900	0.000	0.959
RFC3	CDC6	992135	976059	ENSP00000369411	ENSP00000209728	0.000	0.000	0.000	0.000	0.000	0.206	0.900	0.000	0.915
ATR	RFC1	987414	978706	ENSP00000343741	ENSP00000261424	0.000	0.000	0.000	0.000	0.000	0.290	0.000	0.000	0.290
MRE11A	RPA3	985197	976606	ENSP00000325863	ENSP00000223129	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
POLE	APEX1	984840	976233	ENSP00000322570	ENSP00000216714	0.000	0.000	0.000	0.000	0.000	0.227	0.000	0.000	0.227
IL1R1	IL1RAP	977047	975818	ENSP00000233946	ENSP00000072516	0.000	0.000	0.000	0.760	0.000	0.983	0.800	0.000	0.996
PCNA	RAD50	991950	979585	ENSP00000368438	ENSP00000265335	0.000	0.000	0.000	0.000	0.000	0.580	0.000	0.000	0.579
ERCC4	GTF2H3	983532	976839	ENSP00000310520	ENSP00000228955	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
RFC1	TOPBP1	978706	978617	ENSP00000261424	ENSP00000260810	0.000	0.000	0.000	0.000	0.000	0.227	0.000	0.000	0.227
RAD23A	MPG	984699	976373	ENSP00000321365	ENSP00000219431	0.000	0.000	0.000	0.000	0.000	0.621	0.000	0.000	0.621
CFLAR	TNFSF10	983787	977287	ENSP00000312455	ENSP00000241261	0.000	0.000	0.000	0.000	0.000	0.989	0.900	0.000	0.998
CASP10	CASP6	980968	979557	ENSP00000286186	ENSP00000265164	0.000	0.000	0.000	0.832	0.000	0.621	0.000	0.000	0.621
EXO1	OGG1	983715	983033	ENSP00000311873	ENSP00000306561	0.000	0.000	0.000	0.000	0.000	0.293	0.000	0.000	0.293
RAD17	RAD54L	992299	990469	ENSP00000370151	ENSP00000361043	0.000	0.000	0.000	0.000	0.000	0.388	0.000	0.000	0.388
MRE11A	LIG1	985197	979151	ENSP00000325863	ENSP00000263274	0.000	0.000	0.000	0.000	0.000	0.621	0.000	0.000	0.621
RPA2	MSH2	990895	977012	ENSP00000363021	ENSP00000233146	0.000	0.000	0.000	0.000	0.000	0.224	0.000	0.000	0.224
ERCC4	CDK7	983532	978199	ENSP00000310520	ENSP00000256443	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
PRKACB	CHEK1	990206	980540	ENSP00000359719	ENSP00000278916	0.000	0.000	0.000	0.748	0.000	0.293	0.000	0.000	0.293
ORC1L	XRCC5	990384	985622	ENSP00000360621	ENSP00000329528	0.000	0.000	0.000	0.000	0.000	0.621	0.000	0.000	0.621
FEN1	DMC1	982899	976139	ENSP00000305480	ENSP00000216024	0.000	0.000	0.000	0.000	0.000	0.388	0.000	0.000	0.388
TP53	MNAT1	979979	978667	ENSP00000269305	ENSP00000261245	0.000	0.000	0.000	0.000	0.000	0.621	0.000	0.000	0.621
BRCA1	TP53	988359	979979	ENSP00000350283	ENSP00000269305	0.000	0.000	0.000	0.000	0.000	0.998	0.900	0.000	0.999
APEX2	POLD1	991110	978920	ENSP00000364126	ENSP00000262266	0.000	0.000	0.000	0.000	0.000	0.388	0.000	0.000	0.388
BID	ATM	984404	980514	ENSP00000318822	ENSP00000278616	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
BCL2	PRKACA	985632	983418	ENSP00000329623	ENSP00000309591	0.000	0.000	0.000	0.000	0.000	0.621	0.000	0.000	0.621
MYD88	IL1B	993574	979165	ENSP00000379625	ENSP00000263341	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
GTF2H1	GTF2H3	979693	976839	ENSP00000265963	ENSP00000228955	0.000	0.000	0.000	0.000	0.000	0.792	0.900	0.000	0.977
XRCC6	RAD52	988652	988506	ENSP00000352257	ENSP00000351284	0.000	0.000	0.000	0.000	0.000	0.606	0.000	0.000	0.605
FASLG	CASP8	989529	988504	ENSP00000356694	ENSP00000351273	0.000	0.000	0.000	0.000	0.000	0.992	0.900	0.000	0.999
CHUK	CASP8	990127	988504	ENSP00000359424	ENSP00000351273	0.000	0.000	0.000	0.000	0.000	0.620	0.900	0.000	0.959
ERCC5	XPC	987985	980908	ENSP00000347978	ENSP00000285021	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
ERCC5	PMS2	987985	979682	ENSP00000347978	ENSP00000265849	0.000	0.000	0.000	0.000	0.000	0.228	0.000	0.000	0.228
IRAK1	NGF	990032	989928	ENSP00000358997	ENSP00000358525	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
BIRC3	RIPK1	979190	978509	ENSP00000263464	ENSP00000259808	0.000	0.000	0.000	0.000	0.000	0.928	0.900	0.000	0.992
CASP10	TP53	980968	979979	ENSP00000286186	ENSP00000269305	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
XRCC6	BAX	988652	981408	ENSP00000352257	ENSP00000293288	0.000	0.000	0.000	0.000	0.000	0.846	0.900	0.000	0.983
TRADD	FADD	987063	982467	ENSP00000341268	ENSP00000301838	0.000	0.000	0.000	0.000	0.000	0.995	0.900	0.000	0.999
AKT2	PIK3CA	993239	979288	ENSP00000375892	ENSP00000263967	0.000	0.000	0.000	0.000	0.000	0.225	0.800	0.000	0.834
FADD	BIRC2	982467	976784	ENSP00000301838	ENSP00000227758	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
ATR	NBN	987414	979610	ENSP00000343741	ENSP00000265433	0.000	0.000	0.000	0.000	0.000	0.647	0.000	0.000	0.647
RPA2	EXO1	990895	983715	ENSP00000363021	ENSP00000311873	0.000	0.000	0.000	0.000	0.000	0.619	0.000	0.000	0.619
PRKDC	PMS2	983877	979682	ENSP00000313420	ENSP00000265849	0.000	0.000	0.000	0.000	0.000	0.308	0.000	0.000	0.307
TP53	RFC1	979979	978706	ENSP00000269305	ENSP00000261424	0.000	0.000	0.000	0.000	0.000	0.621	0.000	0.000	0.621
PNKP	MUS81	984941	983204	ENSP00000323511	ENSP00000307853	0.000	0.000	0.000	0.000	0.000	0.291	0.000	0.000	0.291
AIFM1	MLH1	981039	976973	ENSP00000287295	ENSP00000231790	0.000	0.000	0.000	0.000	0.000	0.308	0.000	0.000	0.307
BRCA1	MNAT1	988359	978667	ENSP00000350283	ENSP00000261245	0.000	0.000	0.000	0.000	0.000	0.754	0.000	0.000	0.754
PIK3C2A	MLH1	979697	976973	ENSP00000265970	ENSP00000231790	0.000	0.000	0.000	0.000	0.000	0.308	0.000	0.000	0.307
BAD	AKT1	983354	980037	ENSP00000309103	ENSP00000270202	0.000	0.000	0.000	0.000	0.000	0.845	0.900	0.000	0.983
TP53	LIG1	979979	979151	ENSP00000269305	ENSP00000263274	0.000	0.000	0.000	0.000	0.000	0.614	0.000	0.000	0.613
ERCC2	RAD54B	993226	986466	ENSP00000375809	ENSP00000336606	0.000	0.000	0.000	0.000	0.000	0.226	0.000	0.000	0.226
DDB2	CCNH	978247	978238	ENSP00000256996	ENSP00000256897	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
ERCC2	MUS81	993226	983204	ENSP00000375809	ENSP00000307853	0.000	0.000	0.000	0.000	0.000	0.387	0.000	0.000	0.386
APEX1	ERCC1	976233	975751	ENSP00000216714	ENSP00000013807	0.000	0.000	0.000	0.000	0.000	0.577	0.000	0.000	0.577
AKT2	CHUK	993239	990127	ENSP00000375892	ENSP00000359424	0.000	0.000	0.000	0.656	0.000	0.826	0.800	0.000	0.962
MUS81	NTHL1	983204	976340	ENSP00000307853	ENSP00000219066	0.000	0.000	0.000	0.000	0.000	0.386	0.000	0.000	0.385
PARP1	RAD50	989329	979585	ENSP00000355759	ENSP00000265335	0.000	0.000	0.000	0.000	0.000	0.229	0.000	0.000	0.229
PRKACG	PRKAR2A	991572	979629	ENSP00000366488	ENSP00000265563	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
IKBKB	BIRC2	986774	976784	ENSP00000339151	ENSP00000227758	0.000	0.000	0.000	0.000	0.000	0.000	0.540	0.000	0.540
RELA	AKT3	994309	979261	ENSP00000384273	ENSP00000263826	0.000	0.000	0.000	0.000	0.000	0.077	0.800	0.000	0.802
FASLG	BID	989529	984404	ENSP00000356694	ENSP00000318822	0.000	0.000	0.000	0.000	0.000	0.538	0.900	0.000	0.950
RFC1	MSH2	978706	977012	ENSP00000261424	ENSP00000233146	0.000	0.000	0.000	0.000	0.000	0.333	0.000	0.000	0.333
TNF	FADD	995272	982467	ENSP00000392858	ENSP00000301838	0.000	0.000	0.000	0.000	0.000	0.190	0.000	0.000	0.190
MRE11A	ERCC1	985197	975751	ENSP00000325863	ENSP00000013807	0.000	0.000	0.000	0.000	0.000	0.580	0.000	0.000	0.579
ORC1L	RAD52	990384	988506	ENSP00000360621	ENSP00000351284	0.000	0.000	0.000	0.000	0.000	0.580	0.000	0.000	0.579
ATR	LIG1	987414	979151	ENSP00000343741	ENSP00000263274	0.000	0.000	0.000	0.000	0.000	0.238	0.000	0.000	0.238
CFLAR	CASP6	983787	979557	ENSP00000312455	ENSP00000265164	0.000	0.000	0.000	0.680	0.000	0.620	0.000	0.000	0.619
ATM	TOPBP1	980514	978617	ENSP00000278616	ENSP00000260810	0.000	0.000	0.000	0.000	0.000	0.621	0.000	0.000	0.621
PAK7	BAD	984886	983354	ENSP00000322957	ENSP00000309103	0.000	0.000	0.000	0.000	0.000	0.619	0.000	0.000	0.619
RAD51	MSH3	979855	979536	ENSP00000267868	ENSP00000265081	0.000	0.000	0.000	0.000	0.000	0.184	0.000	0.000	0.184
CASP7	TNFRSF1A	982057	975867	ENSP00000298700	ENSP00000162749	0.000	0.000	0.000	0.000	0.000	0.846	0.000	0.000	0.845
RFC3	POLD1	992135	978920	ENSP00000369411	ENSP00000262266	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
PARP1	XRCC1	989329	979056	ENSP00000355759	ENSP00000262887	0.000	0.000	0.000	0.000	0.000	0.998	0.000	0.000	0.998
CHEK1	PRKAR2B	980540	979652	ENSP00000278916	ENSP00000265717	0.000	0.000	0.000	0.000	0.000	0.295	0.000	0.000	0.294
BCL2	BAD	985632	983354	ENSP00000329623	ENSP00000309103	0.000	0.000	0.000	0.000	0.000	0.999	0.900	0.000	0.999
BRCA1	CDK7	988359	978199	ENSP00000350283	ENSP00000256443	0.000	0.000	0.000	0.000	0.000	0.621	0.000	0.000	0.621
IKBKG	NFKB1	989953	976749	ENSP00000358622	ENSP00000226574	0.000	0.000	0.000	0.000	0.000	0.131	0.900	0.000	0.907
PCNA	NBN	991950	979610	ENSP00000368438	ENSP00000265433	0.000	0.000	0.000	0.000	0.000	0.356	0.000	0.000	0.356
RAD23B	MNAT1	988422	978667	ENSP00000350708	ENSP00000261245	0.000	0.000	0.000	0.000	0.000	0.080	0.900	0.000	0.901
ERCC4	MNAT1	983532	978667	ENSP00000310520	ENSP00000261245	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
ERCC2	RAD50	993226	979585	ENSP00000375809	ENSP00000265335	0.000	0.000	0.000	0.000	0.000	0.582	0.000	0.000	0.581
APAF1	CASP7	988791	982057	ENSP00000353059	ENSP00000298700	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
POLE	RAD50	984840	979585	ENSP00000322570	ENSP00000265335	0.000	0.000	0.000	0.000	0.000	0.235	0.000	0.000	0.235
RFC5	POLD1	996982	978920	ENSP00000408295	ENSP00000262266	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
CHEK2	RAD52	992579	988506	ENSP00000372023	ENSP00000351284	0.000	0.000	0.000	0.000	0.000	0.576	0.000	0.000	0.575
RPA1	MSH6	978067	977074	ENSP00000254719	ENSP00000234420	0.000	0.000	0.000	0.000	0.000	0.576	0.000	0.000	0.575
LIG4	PARP2	988208	977736	ENSP00000349393	ENSP00000250416	0.000	0.000	0.000	0.000	0.000	0.388	0.000	0.000	0.388
HMGB1	RPA1	987319	978067	ENSP00000343040	ENSP00000254719	0.000	0.000	0.000	0.000	0.000	0.226	0.000	0.000	0.226
MYD88	IKBKB	993574	986774	ENSP00000379625	ENSP00000339151	0.000	0.000	0.000	0.000	0.000	0.620	0.900	0.000	0.959
NBN	TOPBP1	979610	978617	ENSP00000265433	ENSP00000260810	0.000	0.000	0.000	0.000	0.000	0.621	0.000	0.000	0.621
BRCA1	MRE11A	988359	985197	ENSP00000350283	ENSP00000325863	0.000	0.000	0.000	0.000	0.000	0.981	0.900	0.000	0.997
XRCC4	PRKDC	987175	983877	ENSP00000342011	ENSP00000313420	0.000	0.000	0.000	0.000	0.000	0.846	0.900	0.000	0.983
POLD2	RPA1	993523	978067	ENSP00000379148	ENSP00000254719	0.000	0.000	0.000	0.000	0.000	0.576	0.000	0.000	0.575
RAD52	RFC4	988506	981740	ENSP00000351284	ENSP00000296273	0.000	0.000	0.000	0.000	0.000	0.160	0.000	0.000	0.160
RAD54L	POLD1	990469	978920	ENSP00000361043	ENSP00000262266	0.000	0.000	0.000	0.000	0.000	0.236	0.000	0.000	0.235
RAD54B	RFC1	986466	978706	ENSP00000336606	ENSP00000261424	0.000	0.000	0.000	0.000	0.000	0.295	0.000	0.000	0.294
PIK3CD	PIK3CG	991590	988630	ENSP00000366563	ENSP00000352121	0.000	0.000	0.000	0.856	0.000	0.620	0.000	0.000	0.619
MRE11A	RAD51	985197	979855	ENSP00000325863	ENSP00000267868	0.000	0.000	0.000	0.000	0.000	0.505	0.900	0.000	0.947
ATR	RPA1	987414	978067	ENSP00000343741	ENSP00000254719	0.000	0.000	0.000	0.000	0.000	0.734	0.000	0.000	0.734
TNFRSF10D	TNFRSF10A	983501	976441	ENSP00000310263	ENSP00000221132	0.000	0.000	0.000	0.900	0.000	0.621	0.000	0.000	0.621
PIK3R5	PIK3CA	979978	979288	ENSP00000269300	ENSP00000263967	0.000	0.000	0.000	0.000	0.000	0.352	0.360	0.000	0.557
BRAP	DDB1	985779	982456	ENSP00000330813	ENSP00000301764	0.000	0.000	0.000	0.000	0.000	0.621	0.000	0.000	0.621
ERCC4	MSH3	983532	979536	ENSP00000310520	ENSP00000265081	0.000	0.000	0.000	0.000	0.000	0.226	0.000	0.000	0.226
CHUK	TRADD	990127	987063	ENSP00000359424	ENSP00000341268	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
APAF1	CASP9	988791	985709	ENSP00000353059	ENSP00000330237	0.000	0.000	0.000	0.000	0.000	0.999	0.900	0.000	0.999
GTF2H5	GTF2H3	989395	976839	ENSP00000356067	ENSP00000228955	0.000	0.000	0.000	0.000	0.000	0.621	0.000	0.000	0.621
POLD1	APEX1	978920	976233	ENSP00000262266	ENSP00000216714	0.000	0.000	0.000	0.000	0.000	0.227	0.900	0.000	0.917
XRCC5	RAD51	985622	979855	ENSP00000329528	ENSP00000267868	0.000	0.000	0.000	0.000	0.000	0.192	0.000	0.000	0.191
RAD50	RPA1	979585	978067	ENSP00000265335	ENSP00000254719	0.000	0.000	0.000	0.000	0.000	0.615	0.000	0.000	0.615
FASLG	TNFRSF1A	989529	975867	ENSP00000356694	ENSP00000162749	0.000	0.000	0.000	0.000	0.000	0.812	0.000	0.000	0.812
CFLAR	BCL2L1	983787	982553	ENSP00000312455	ENSP00000302564	0.000	0.000	0.000	0.000	0.000	0.620	0.000	0.000	0.619
POLE	ERCC1	984840	975751	ENSP00000322570	ENSP00000013807	0.000	0.000	0.000	0.000	0.000	0.354	0.000	0.000	0.353
RPA2	ORC1L	990895	990384	ENSP00000363021	ENSP00000360621	0.000	0.000	0.000	0.000	0.000	0.931	0.000	0.000	0.931
DCLRE1C	LIG4	991797	988208	ENSP00000367527	ENSP00000349393	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
IKBKB	TNFSF10	986774	977287	ENSP00000339151	ENSP00000241261	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
OGG1	DMC1	983033	976139	ENSP00000306561	ENSP00000216024	0.000	0.000	0.000	0.000	0.000	0.240	0.000	0.000	0.240
XRCC6	DDB2	988652	978247	ENSP00000352257	ENSP00000256996	0.000	0.000	0.000	0.000	0.000	0.619	0.000	0.000	0.619
MRE11A	MUS81	985197	983204	ENSP00000325863	ENSP00000307853	0.000	0.000	0.000	0.000	0.000	0.384	0.000	0.000	0.384
ERCC5	RPA1	987985	978067	ENSP00000347978	ENSP00000254719	0.000	0.000	0.000	0.000	0.000	0.288	0.000	0.000	0.288
TRAF2	NFKBIA	977592	976240	ENSP00000247668	ENSP00000216797	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.000	0.800
XRCC6	XRCC4	988652	987175	ENSP00000352257	ENSP00000342011	0.000	0.000	0.000	0.000	0.000	0.620	0.900	0.000	0.959
MRE11A	NBN	985197	979610	ENSP00000325863	ENSP00000265433	0.000	0.000	0.000	0.000	0.000	0.999	0.720	0.000	0.999
CASP7	BIRC3	982057	979190	ENSP00000298700	ENSP00000263464	0.000	0.000	0.000	0.000	0.000	0.620	0.900	0.000	0.959
ATM	RAD50	980514	979585	ENSP00000278616	ENSP00000265335	0.000	0.000	0.000	0.000	0.000	0.333	0.900	0.000	0.928
IKBKG	TNFRSF10B	989953	980417	ENSP00000358622	ENSP00000276431	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
XRCC6	MSH6	988652	977074	ENSP00000352257	ENSP00000234420	0.000	0.000	0.000	0.000	0.000	0.619	0.000	0.000	0.619
NTRK1	PIK3R3	988539	979026	ENSP00000351486	ENSP00000262741	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.000	0.800
CASP9	CASP6	985709	979557	ENSP00000330237	ENSP00000265164	0.000	0.000	0.000	0.806	0.000	0.000	0.900	0.000	0.899
BCL2	PPP3R1	985632	977067	ENSP00000329623	ENSP00000234310	0.000	0.000	0.000	0.000	0.000	0.621	0.000	0.000	0.621
PRKACG	PRKAR1B	991572	988839	ENSP00000366488	ENSP00000353415	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
RELA	IKBKB	994309	986774	ENSP00000384273	ENSP00000339151	0.000	0.000	0.000	0.000	0.000	0.988	0.900	0.000	0.998
ATR	DDB1	987414	982456	ENSP00000343741	ENSP00000301764	0.000	0.000	0.000	0.000	0.000	0.346	0.000	0.000	0.346
RAD17	RFC3	992299	992135	ENSP00000370151	ENSP00000369411	0.000	0.000	0.000	0.574	0.000	0.845	0.900	0.000	0.983
ERCC4	MUS81	983532	983204	ENSP00000310520	ENSP00000307853	0.000	0.000	0.000	0.000	0.000	0.582	0.000	0.000	0.581
IKBKG	NFKBIA	989953	976240	ENSP00000358622	ENSP00000216797	0.000	0.000	0.000	0.000	0.000	0.999	0.900	0.000	0.999
XPA	POLE	991140	984840	ENSP00000364270	ENSP00000322570	0.000	0.000	0.000	0.000	0.000	0.293	0.000	0.000	0.293
XAB2	ERCC3	988481	980930	ENSP00000351137	ENSP00000285398	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
TP53	NFKBIA	979979	976240	ENSP00000269305	ENSP00000216797	0.000	0.000	0.000	0.000	0.000	0.621	0.000	0.000	0.621
RAD54B	PAK7	986466	984886	ENSP00000336606	ENSP00000322957	0.000	0.000	0.000	0.000	0.000	0.160	0.000	0.000	0.160
PCNA	MSH2	991950	977012	ENSP00000368438	ENSP00000233146	0.000	0.000	0.000	0.000	0.000	0.939	0.000	0.000	0.938
PCNA	RPA1	991950	978067	ENSP00000368438	ENSP00000254719	0.000	0.000	0.000	0.000	0.000	0.975	0.000	0.000	0.974
MSH3	MSH6	979536	977074	ENSP00000265081	ENSP00000234420	0.000	0.000	0.000	0.744	0.000	0.671	0.720	0.000	0.901
LIG4	ATR	988208	987414	ENSP00000349393	ENSP00000343741	0.000	0.000	0.000	0.000	0.000	0.571	0.000	0.000	0.571
MRE11A	PRKDC	985197	983877	ENSP00000325863	ENSP00000313420	0.000	0.000	0.000	0.000	0.000	0.908	0.000	0.000	0.907
XPA	ERCC3	991140	980930	ENSP00000364270	ENSP00000285398	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
CHUK	BIRC2	990127	976784	ENSP00000359424	ENSP00000227758	0.000	0.000	0.000	0.000	0.000	0.000	0.540	0.000	0.540
RELA	BIRC3	994309	979190	ENSP00000384273	ENSP00000263464	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
PARP1	XRCC6	989329	988652	ENSP00000355759	ENSP00000352257	0.000	0.000	0.000	0.000	0.000	0.989	0.000	0.000	0.988
RAD52	MRE11A	988506	985197	ENSP00000351284	ENSP00000325863	0.000	0.000	0.000	0.000	0.000	0.600	0.000	0.000	0.599
GTF2H1	CDK7	979693	978199	ENSP00000265963	ENSP00000256443	0.000	0.000	0.000	0.000	0.000	0.989	0.900	0.000	0.998
RAD52	XRCC5	988506	985622	ENSP00000351284	ENSP00000329528	0.000	0.000	0.000	0.000	0.000	0.671	0.000	0.000	0.671
RAD51	RAD50	979855	979585	ENSP00000267868	ENSP00000265335	0.000	0.000	0.000	0.000	0.000	0.505	0.900	0.000	0.947
APAF1	BIRC3	988791	979190	ENSP00000353059	ENSP00000263464	0.000	0.000	0.000	0.000	0.000	0.288	0.900	0.000	0.924
CSF2RB	BAX	994280	981408	ENSP00000384053	ENSP00000293288	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.000	0.800
PRKDC	CHEK1	983877	980540	ENSP00000313420	ENSP00000278916	0.000	0.000	0.000	0.000	0.000	0.826	0.000	0.000	0.825
MAP3K14	CFLAR	987185	983787	ENSP00000342059	ENSP00000312455	0.000	0.000	0.000	0.000	0.000	0.620	0.000	0.000	0.619
IKBKB	RIPK1	986774	978509	ENSP00000339151	ENSP00000259808	0.000	0.000	0.000	0.486	0.000	0.620	0.900	0.000	0.959
PNKP	XRCC1	984941	979056	ENSP00000323511	ENSP00000262887	0.000	0.000	0.000	0.000	0.000	0.977	0.000	0.000	0.976
PIK3CD	PIK3R5	991590	979978	ENSP00000366563	ENSP00000269300	0.000	0.000	0.000	0.000	0.000	0.140	0.360	0.000	0.412
PCNA	MSH3	991950	979536	ENSP00000368438	ENSP00000265081	0.000	0.000	0.000	0.000	0.000	0.975	0.000	0.000	0.974
ATM	MSH4	980514	979126	ENSP00000278616	ENSP00000263187	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
BIRC3	NFKBIA	979190	976240	ENSP00000263464	ENSP00000216797	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
CASP9	BIRC2	985709	976784	ENSP00000330237	ENSP00000227758	0.000	0.000	0.000	0.000	0.000	0.846	0.900	0.000	0.983
IL1B	IL1RAP	979165	975818	ENSP00000263341	ENSP00000072516	0.000	0.000	0.000	0.000	0.000	0.983	0.800	0.000	0.996
ATM	RAD51	980514	979855	ENSP00000278616	ENSP00000267868	0.000	0.000	0.000	0.000	0.000	0.619	0.900	0.000	0.959
MAP3K14	NFKB1	987185	976749	ENSP00000342059	ENSP00000226574	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.000	0.800
DDB1	UNG	982456	977329	ENSP00000301764	ENSP00000242576	0.000	0.000	0.000	0.000	0.000	0.620	0.000	0.000	0.619
RAD52	DMC1	988506	976139	ENSP00000351284	ENSP00000216024	0.000	0.000	0.000	0.000	0.000	0.226	0.000	0.000	0.226
RAD23B	ERCC8	988422	979523	ENSP00000350708	ENSP00000265038	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
TNF	IKBKG	995272	989953	ENSP00000392858	ENSP00000358622	0.000	0.000	0.000	0.000	0.000	0.846	0.000	0.000	0.845
ERCC2	RFC1	993226	978706	ENSP00000375809	ENSP00000261424	0.000	0.000	0.000	0.000	0.000	0.387	0.000	0.000	0.386
CASP9	CAPN2	985709	981537	ENSP00000330237	ENSP00000295006	0.000	0.000	0.000	0.000	0.000	0.621	0.000	0.000	0.621
CHEK1	TP53	980540	979979	ENSP00000278916	ENSP00000269305	0.000	0.000	0.000	0.000	0.000	0.995	0.900	0.000	0.999
RIPK1	TRAF2	978509	977592	ENSP00000259808	ENSP00000247668	0.000	0.000	0.000	0.000	0.000	0.999	0.800	0.000	0.999
POLD2	RFC4	993523	981740	ENSP00000379148	ENSP00000296273	0.000	0.000	0.000	0.000	0.000	0.235	0.900	0.000	0.918
RAD23B	CCNH	988422	978238	ENSP00000350708	ENSP00000256897	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
RAD17	LIG1	992299	979151	ENSP00000370151	ENSP00000263274	0.000	0.000	0.000	0.000	0.000	0.582	0.000	0.000	0.581
OGG1	RAD51	983033	979855	ENSP00000306561	ENSP00000267868	0.000	0.000	0.000	0.000	0.000	0.240	0.000	0.000	0.240
POLE	ERCC4	984840	983532	ENSP00000322570	ENSP00000310520	0.000	0.000	0.000	0.000	0.000	0.231	0.000	0.000	0.230
XPA	ERCC1	991140	975751	ENSP00000364270	ENSP00000013807	0.000	0.000	0.000	0.000	0.000	0.989	0.900	0.000	0.998
RPA2	CHEK1	990895	980540	ENSP00000363021	ENSP00000278916	0.000	0.000	0.000	0.000	0.000	0.620	0.000	0.000	0.619
ERCC4	ERCC1	983532	975751	ENSP00000310520	ENSP00000013807	0.000	0.000	0.000	0.000	0.000	0.997	0.900	0.000	0.999
PIK3CD	IL3	991590	981850	ENSP00000366563	ENSP00000296870	0.000	0.000	0.000	0.000	0.000	0.620	0.000	0.000	0.619
BCL2L1	CAPN1	982553	980567	ENSP00000302564	ENSP00000279247	0.000	0.000	0.000	0.000	0.000	0.619	0.000	0.000	0.619
TRAF2	BIRC2	977592	976784	ENSP00000247668	ENSP00000227758	0.000	0.000	0.000	0.000	0.000	0.999	0.540	0.000	0.999
